DATE,Aged 16-17,Aged 18-24,Aged 25-34,Aged 35-49,Aged 50-64,Age 65+
2002-Jan-Mar,339,1592,2976,4834,2842,191
2002-Feb-Apr,340,1609,2976,4848,2853,187
2002-Mar-May,330,1625,2962,4858,2864,184
2002-Apr-Jun,323,1633,2958,4883,2875,182
2002-May-Jul,335,1616,2951,4874,2870,183
2002-Jun-Aug,337,1626,2952,4879,2887,176
2002-Jul-Sep,344,1628,2937,4871,2899,177
2002-Aug-Oct,336,1630,2937,4890,2897,175
2002-Sep-Nov,341,1624,2938,4888,2903,182
2002-Oct-Dec,340,1622,2925,4900,2907,179
2003-Nov-Jan,345,1607,2918,4893,2917,183
2003-Dec-Feb,349,1612,2912,4914,2912,183
2003-Jan-Mar,346,1605,2921,4925,2924,184
2003-Feb-Apr,339,1615,2902,4930,2941,184
2003-Mar-May,333,1622,2894,4937,2951,185
2003-Apr-Jun,329,1612,2886,4948,2959,184
2003-May-Jul,327,1621,2881,4933,2976,192
2003-Jun-Aug,325,1621,2885,4917,2993,195
2003-Jul-Sep,326,1632,2899,4909,2988,200
2003-Aug-Oct,329,1655,2896,4925,2995,199
2003-Sep-Nov,340,1657,2901,4939,2982,195
2003-Oct-Dec,337,1663,2899,4955,2974,201
2004-Nov-Jan,333,1674,2911,4977,2985,199
2004-Dec-Feb,330,1683,2897,4987,2992,195
2004-Jan-Mar,334,1688,2883,4976,3008,198
2004-Feb-Apr,331,1682,2895,4957,3017,200
2004-Mar-May,329,1679,2883,4969,3015,202
2004-Apr-Jun,322,1666,2896,4987,3014,206
2004-May-Jul,333,1665,2889,4984,3006,199
2004-Jun-Aug,336,1663,2887,4989,3008,196
2004-Jul-Sep,337,1665,2882,5009,3010,198
2004-Aug-Oct,340,1666,2874,5021,3024,200
2004-Sep-Nov,335,1682,2887,5030,3032,202
2004-Oct-Dec,328,1690,2897,5032,3044,202
2005-Nov-Jan,323,1693,2913,5039,3048,206
2005-Dec-Feb,323,1702,2934,5048,3058,214
2005-Jan-Mar,317,1688,2921,5061,3056,215
2005-Feb-Apr,317,1684,2912,5072,3042,215
2005-Mar-May,317,1674,2910,5086,3066,219
2005-Apr-Jun,318,1679,2902,5088,3065,223
2005-May-Jul,320,1685,2908,5112,3070,222
2005-Jun-Aug,319,1683,2911,5142,3076,222
2005-Jul-Sep,317,1681,2901,5151,3091,217
2005-Aug-Oct,310,1675,2905,5142,3090,219
2005-Sep-Nov,295,1676,2890,5139,3094,216
2005-Oct-Dec,288,1673,2898,5139,3090,220
2006-Nov-Jan,289,1686,2901,5124,3109,221
2006-Dec-Feb,296,1701,2899,5126,3129,224
2006-Jan-Mar,299,1718,2906,5153,3136,228
2006-Feb-Apr,298,1728,2902,5145,3125,231
2006-Mar-May,296,1727,2913,5142,3118,228
2006-Apr-Jun,293,1731,2912,5140,3149,229
2006-May-Jul,289,1714,2910,5137,3178,229
2006-Jun-Aug,289,1740,2903,5143,3190,238
2006-Jul-Sep,287,1720,2891,5133,3169,244
2006-Aug-Oct,285,1728,2892,5134,3174,239
2006-Sep-Nov,292,1725,2899,5131,3175,237
2006-Oct-Dec,297,1735,2883,5133,3176,239
2007-Nov-Jan,295,1712,2876,5135,3187,237
2007-Dec-Feb,283,1715,2881,5135,3173,236
2007-Jan-Mar,275,1717,2885,5141,3185,233
2007-Feb-Apr,272,1713,2903,5144,3189,229
2007-Mar-May,272,1712,2895,5163,3201,225
2007-Apr-Jun,273,1718,2893,5172,3201,226
2007-May-Jul,280,1729,2887,5185,3197,228
2007-Jun-Aug,274,1730,2903,5179,3202,227
2007-Jul-Sep,266,1745,2903,5182,3206,233
2007-Aug-Oct,274,1754,2905,5181,3217,238
2007-Sep-Nov,274,1751,2906,5178,3229,246
2007-Oct-Dec,286,1743,2912,5198,3242,247
2008-Nov-Jan,278,1753,2927,5200,3242,245
2008-Dec-Feb,279,1760,2932,5210,3254,247
2008-Jan-Mar,273,1757,2936,5211,3257,244
2008-Feb-Apr,288,1742,2930,5227,3253,242
2008-Mar-May,284,1756,2952,5235,3258,245
2008-Apr-Jun,276,1746,2949,5229,3265,245
2008-May-Jul,272,1748,2958,5217,3268,246
2008-Jun-Aug,266,1725,2955,5217,3272,249
2008-Jul-Sep,261,1730,2948,5210,3266,255
2008-Aug-Oct,255,1723,2970,5193,3270,260
2008-Sep-Nov,253,1724,2961,5179,3300,254
2008-Oct-Dec,245,1717,2957,5190,3292,258
2009-Nov-Jan,255,1714,2950,5214,3295,252
2009-Dec-Feb,253,1702,2934,5214,3275,265
2009-Jan-Mar,249,1682,2929,5208,3286,273
2009-Feb-Apr,236,1671,2924,5195,3291,277
2009-Mar-May,235,1655,2909,5190,3309,281
2009-Apr-Jun,234,1653,2896,5190,3312,290
2009-May-Jul,222,1636,2901,5186,3314,294
2009-Jun-Aug,223,1650,2916,5192,3317,307
2009-Jul-Sep,225,1642,2931,5201,3317,306
2009-Aug-Oct,229,1618,2936,5224,3320,309
2009-Sep-Nov,240,1626,2941,5215,3323,309
2009-Oct-Dec,231,1640,2945,5210,3325,313
2010-Nov-Jan,227,1633,2949,5200,3338,302
2010-Dec-Feb,221,1628,2953,5176,3341,301
2010-Jan-Mar,222,1630,2943,5157,3355,309
2010-Feb-Apr,215,1640,2944,5156,3349,325
2010-Mar-May,216,1638,2948,5163,3351,329
2010-Apr-Jun,212,1637,2966,5161,3338,340
2010-May-Jul,212,1648,2964,5164,3355,348
2010-Jun-Aug,209,1642,2947,5174,3370,343
2010-Jul-Sep,204,1630,2948,5162,3404,341
2010-Aug-Oct,205,1608,2959,5144,3391,343
2010-Sep-Nov,190,1575,3001,5144,3380,350
2010-Oct-Dec,193,1598,2996,5134,3373,351
2011-Nov-Jan,195,1611,2981,5132,3396,364
2011-Dec-Feb,205,1612,3012,5120,3411,366
2011-Jan-Mar,201,1615,3025,5117,3419,372
2011-Feb-Apr,204,1608,3013,5089,3423,357
2011-Mar-May,200,1623,3025,5088,3433,360
2011-Apr-Jun,200,1623,3021,5098,3430,347
2011-May-Jul,201,1614,3025,5066,3447,338
2011-Jun-Aug,193,1604,3022,5068,3465,325
2011-Jul-Sep,186,1613,3009,5076,3479,328
2011-Aug-Oct,182,1624,3005,5078,3472,329
2011-Sep-Nov,189,1625,3010,5068,3468,342
2011-Oct-Dec,190,1616,3012,5089,3454,350
2012-Nov-Jan,192,1611,3017,5061,3470,360
2012-Dec-Feb,189,1619,2999,5066,3458,364
2012-Jan-Mar,186,1620,3011,5072,3484,361
2012-Feb-Apr,184,1613,3018,5070,3497,357
2012-Mar-May,188,1616,3016,5082,3500,362
2012-Apr-Jun,192,1636,3015,5073,3520,366
2012-May-Jul,188,1649,3039,5089,3521,385
2012-Jun-Aug,194,1641,3048,5082,3527,386
2012-Jul-Sep,200,1623,3052,5072,3538,377
2012-Aug-Oct,192,1624,3037,5080,3542,365
2012-Sep-Nov,194,1648,3054,5079,3566,371
2012-Oct-Dec,189,1657,3070,5076,3591,380
2013-Nov-Jan,183,1646,3090,5072,3594,381
2013-Dec-Feb,175,1633,3097,5068,3597,377
2013-Jan-Mar,179,1643,3096,5065,3602,384
2013-Feb-Apr,186,1645,3109,5061,3599,392
2013-Mar-May,184,1624,3120,5048,3610,390
2013-Apr-Jun,181,1602,3141,5048,3639,395
2013-May-Jul,181,1597,3158,5050,3652,393
2013-Jun-Aug,180,1599,3144,5059,3642,406
2013-Jul-Sep,180,1627,3142,5034,3648,421
2013-Aug-Oct,188,1640,3154,5042,3676,425
2013-Sep-Nov,192,1637,3162,5042,3686,426
2013-Oct-Dec,180,1651,3161,5036,3704,426
2014-Nov-Jan,177,1653,3149,5042,3720,419
2014-Dec-Feb,176,1666,3179,5055,3740,437
2014-Jan-Mar,179,1656,3193,5068,3737,434
2014-Feb-Apr,189,1676,3207,5079,3734,441
2014-Mar-May,183,1689,3201,5099,3755,458
