DATE,Aged 16-17,Aged 18-24,Aged 25-34,Aged 35-49,Aged 50-64,Age 65+
2002-Jan-Mar,661,3358,6567,10354,6383,473
2002-Feb-Apr,666,3384,6551,10382,6399,474
2002-Mar-May,650,3403,6546,10400,6413,476
2002-Apr-Jun,643,3403,6535,10438,6438,476
2002-May-Jul,653,3377,6519,10436,6445,477
2002-Jun-Aug,650,3393,6511,10458,6467,469
2002-Jul-Sep,652,3390,6484,10447,6487,476
2002-Aug-Oct,650,3423,6484,10480,6503,484
2002-Sep-Nov,654,3411,6489,10488,6525,492
2002-Oct-Dec,661,3422,6488,10500,6547,492
2003-Nov-Jan,658,3414,6460,10504,6552,492
2003-Dec-Feb,664,3396,6436,10520,6543,500
2003-Jan-Mar,663,3384,6421,10551,6571,509
2003-Feb-Apr,654,3396,6394,10570,6612,516
2003-Mar-May,648,3410,6393,10590,6634,523
2003-Apr-Jun,641,3402,6390,10609,6670,515
2003-May-Jul,643,3413,6380,10596,6679,526
2003-Jun-Aug,639,3413,6372,10591,6682,532
2003-Jul-Sep,632,3441,6384,10592,6676,531
2003-Aug-Oct,633,3464,6369,10607,6683,528
2003-Sep-Nov,643,3481,6358,10622,6668,523
2003-Oct-Dec,636,3483,6347,10640,6668,531
2004-Nov-Jan,633,3507,6359,10682,6693,525
2004-Dec-Feb,624,3530,6348,10700,6713,524
2004-Jan-Mar,629,3537,6334,10704,6725,530
2004-Feb-Apr,621,3535,6343,10688,6731,531
2004-Mar-May,629,3554,6320,10695,6730,538
2004-Apr-Jun,619,3531,6322,10713,6739,546
2004-May-Jul,626,3523,6315,10712,6745,542
2004-Jun-Aug,633,3520,6314,10731,6745,537
2004-Jul-Sep,638,3515,6315,10772,6748,531
2004-Aug-Oct,642,3518,6301,10785,6767,532
2004-Sep-Nov,633,3526,6328,10797,6804,538
2004-Oct-Dec,629,3538,6341,10811,6809,544
2005-Nov-Jan,631,3540,6366,10818,6823,548
2005-Dec-Feb,630,3546,6388,10832,6836,562
2005-Jan-Mar,622,3540,6381,10841,6837,568
2005-Feb-Apr,613,3530,6364,10851,6828,574
2005-Mar-May,617,3511,6356,10871,6847,577
2005-Apr-Jun,614,3527,6357,10878,6849,577
2005-May-Jul,617,3540,6356,10908,6859,576
2005-Jun-Aug,597,3539,6381,10945,6869,576
2005-Jul-Sep,594,3532,6370,10961,6899,573
2005-Aug-Oct,568,3525,6379,10952,6898,590
2005-Sep-Nov,555,3520,6365,10936,6913,591
2005-Oct-Dec,540,3511,6382,10931,6917,599
2006-Nov-Jan,542,3525,6401,10932,6938,597
2006-Dec-Feb,547,3562,6385,10945,6946,603
2006-Jan-Mar,545,3575,6383,10982,6958,607
2006-Feb-Apr,555,3578,6383,10980,6972,617
2006-Mar-May,549,3569,6384,10980,6969,611
2006-Apr-Jun,550,3573,6379,10982,7003,618
2006-May-Jul,548,3576,6367,11008,7032,609
2006-Jun-Aug,548,3616,6363,11030,7048,619
2006-Jul-Sep,540,3607,6354,11024,7023,635
2006-Aug-Oct,539,3609,6353,11027,7030,632
2006-Sep-Nov,547,3602,6364,11021,7034,636
2006-Oct-Dec,555,3610,6349,11028,7034,638
2007-Nov-Jan,545,3601,6338,11039,7046,632
2007-Dec-Feb,534,3602,6339,11027,7040,633
2007-Jan-Mar,527,3608,6349,11038,7043,628
2007-Feb-Apr,526,3601,6387,11034,7055,629
2007-Mar-May,521,3594,6409,11069,7096,626
2007-Apr-Jun,510,3595,6409,11080,7101,626
2007-May-Jul,520,3593,6397,11107,7098,637
