DATE,Aged 16-17,Aged 18-24,Aged 25-34,Aged 35-49,Aged 50-64,Age 65+
2002-Jan-Mar,322,1766,3591,5520,3541,282
2002-Feb-Apr,326,1775,3575,5535,3546,286
2002-Mar-May,320,1778,3584,5541,3549,291
2002-Apr-Jun,320,1770,3578,5555,3563,294
2002-May-Jul,318,1761,3568,5561,3576,294
2002-Jun-Aug,314,1767,3560,5579,3580,293
2002-Jul-Sep,308,1762,3546,5576,3588,299
2002-Aug-Oct,313,1793,3548,5590,3606,309
2002-Sep-Nov,313,1787,3551,5599,3622,310
2002-Oct-Dec,320,1800,3563,5600,3640,313
2003-Nov-Jan,313,1807,3542,5611,3636,309
2003-Dec-Feb,315,1784,3524,5606,3632,316
2003-Jan-Mar,318,1779,3500,5626,3647,325
2003-Feb-Apr,315,1781,3492,5640,3672,332
2003-Mar-May,315,1788,3499,5652,3683,338
2003-Apr-Jun,313,1790,3503,5660,3711,331
2003-May-Jul,315,1792,3499,5664,3702,334
2003-Jun-Aug,315,1793,3487,5674,3689,337
2003-Jul-Sep,306,1809,3485,5682,3687,331
2003-Aug-Oct,304,1809,3474,5682,3689,329
2003-Sep-Nov,303,1824,3457,5683,3686,327
2003-Oct-Dec,300,1820,3448,5685,3694,330
2004-Nov-Jan,300,1833,3448,5705,3708,326
2004-Dec-Feb,294,1847,3451,5713,3721,328
2004-Jan-Mar,295,1849,3450,5729,3717,332
2004-Feb-Apr,290,1853,3448,5731,3714,331
2004-Mar-May,300,1874,3438,5725,3715,336
2004-Apr-Jun,296,1865,3426,5727,3725,340
2004-May-Jul,293,1858,3427,5728,3740,343
2004-Jun-Aug,297,1857,3427,5742,3737,341
2004-Jul-Sep,301,1850,3433,5763,3738,333
2004-Aug-Oct,302,1852,3427,5763,3743,332
2004-Sep-Nov,298,1844,3441,5767,3772,337
2004-Oct-Dec,301,1848,3444,5779,3765,342
2005-Nov-Jan,308,1848,3453,5779,3775,342
2005-Dec-Feb,307,1844,3454,5783,3778,348
2005-Jan-Mar,305,1852,3459,5780,3781,354
2005-Feb-Apr,296,1846,3452,5778,3786,359
2005-Mar-May,300,1838,3446,5786,3781,358
2005-Apr-Jun,296,1848,3455,5790,3784,354
2005-May-Jul,297,1855,3448,5795,3789,354
2005-Jun-Aug,278,1856,3470,5803,3792,354
2005-Jul-Sep,277,1851,3469,5810,3808,356
2005-Aug-Oct,258,1850,3474,5811,3807,371
2005-Sep-Nov,260,1844,3475,5797,3819,375
2005-Oct-Dec,253,1838,3484,5792,3827,379
2006-Nov-Jan,252,1839,3500,5808,3829,376
2006-Dec-Feb,251,1861,3486,5819,3818,378
2006-Jan-Mar,246,1857,3477,5829,3822,379
2006-Feb-Apr,256,1851,3481,5835,3846,387
2006-Mar-May,253,1842,3471,5838,3851,383
2006-Apr-Jun,257,1843,3467,5842,3854,389
2006-May-Jul,260,1862,3457,5871,3854,380
2006-Jun-Aug,259,1877,3460,5887,3858,381
2006-Jul-Sep,253,1888,3463,5891,3854,391
2006-Aug-Oct,254,1881,3461,5893,3856,393
2006-Sep-Nov,255,1877,3464,5890,3859,399
2006-Oct-Dec,257,1875,3467,5895,3858,399
2007-Nov-Jan,250,1889,3463,5904,3860,394
2007-Dec-Feb,250,1887,3458,5892,3867,398
2007-Jan-Mar,252,1891,3464,5897,3858,395
2007-Feb-Apr,254,1887,3484,5890,3866,399
2007-Mar-May,249,1883,3514,5905,3895,401
2007-Apr-Jun,237,1878,3516,5908,3900,400
2007-May-Jul,240,1864,3510,5922,3901,409
2007-Jun-Aug,247,1865,3525,5909,3903,412
2007-Jul-Sep,249,1871,3520,5913,3916,416
2007-Aug-Oct,255,1875,3518,5906,3938,410
2007-Sep-Nov,268,1879,3514,5916,3951,414
2007-Oct-Dec,269,1879,3521,5909,3957,412
2008-Nov-Jan,274,1885,3526,5905,3956,423
2008-Dec-Feb,266,1881,3542,5906,3969,428
2008-Jan-Mar,267,1877,3533,5913,3977,438
2008-Feb-Apr,255,1874,3533,5915,3999,448
2008-Mar-May,253,1882,3539,5923,3977,443
2008-Apr-Jun,252,1859,3542,5923,3988,449
2008-May-Jul,256,1847,3534,5919,3984,447
2008-Jun-Aug,256,1844,3506,5909,3972,440
2008-Jul-Sep,259,1847,3499,5896,3971,438
2008-Aug-Oct,253,1833,3476,5887,3979,436
2008-Sep-Nov,248,1827,3486,5895,3980,447
2008-Oct-Dec,243,1826,3487,5896,3968,450
2009-Nov-Jan,241,1820,3485,5890,3976,446
2009-Dec-Feb,238,1779,3485,5868,3979,436
2009-Jan-Mar,227,1756,3482,5853,3985,435
2009-Feb-Apr,218,1736,3461,5841,3987,436
2009-Mar-May,210,1726,3429,5812,3958,442
2009-Apr-Jun,199,1726,3408,5788,3954,437
2009-May-Jul,188,1712,3405,5771,3949,441
2009-Jun-Aug,184,1705,3414,5753,3963,453
2009-Jul-Sep,180,1678,3417,5760,3961,451
2009-Aug-Oct,180,1668,3439,5760,3946,454
2009-Sep-Nov,168,1676,3439,5755,3944,456
2009-Oct-Dec,167,1673,3445,5747,3947,457
2010-Nov-Jan,164,1663,3426,5745,3945,464
2010-Dec-Feb,164,1672,3409,5729,3958,472
2010-Jan-Mar,162,1676,3412,5713,3961,472
2010-Feb-Apr,164,1695,3417,5712,3962,469
2010-Mar-May,172,1707,3445,5734,3968,472
2010-Apr-Jun,180,1709,3476,5724,3966,485
2010-May-Jul,179,1733,3501,5717,3990,515
2010-Jun-Aug,180,1737,3526,5715,3984,512
2010-Jul-Sep,176,1776,3539,5712,3975,518
2010-Aug-Oct,171,1760,3531,5719,3967,510
2010-Sep-Nov,167,1745,3530,5706,3971,525
2010-Oct-Dec,165,1747,3535,5719,3983,529
2011-Nov-Jan,172,1746,3543,5716,3998,536
2011-Dec-Feb,163,1748,3547,5730,4007,522
2011-Jan-Mar,161,1732,3545,5739,3998,517
2011-Feb-Apr,162,1744,3542,5753,4004,538
2011-Mar-May,162,1742,3541,5744,4013,538
2011-Apr-Jun,159,1740,3534,5750,4004,541
2011-May-Jul,152,1711,3530,5749,3985,527
2011-Jun-Aug,154,1703,3532,5740,3984,507
2011-Jul-Sep,151,1674,3524,5739,3976,527
2011-Aug-Oct,151,1664,3529,5731,4002,534
2011-Sep-Nov,160,1657,3531,5722,4006,549
2011-Oct-Dec,164,1660,3540,5721,4016,531
2012-Nov-Jan,155,1657,3555,5726,4021,521
2012-Dec-Feb,165,1667,3574,5737,4018,525
2012-Jan-Mar,168,1675,3588,5725,4022,542
2012-Feb-Apr,171,1672,3594,5719,4033,564
2012-Mar-May,170,1692,3604,5723,4031,581
2012-Apr-Jun,167,1720,3611,5732,4052,584
2012-May-Jul,164,1725,3616,5734,4052,583
2012-Jun-Aug,161,1734,3612,5749,4073,574
2012-Jul-Sep,164,1724,3621,5731,4083,574
2012-Aug-Oct,158,1750,3621,5705,4081,593
2012-Sep-Nov,148,1745,3636,5706,4101,601
2012-Oct-Dec,143,1735,3652,5698,4115,603
2013-Nov-Jan,148,1714,3665,5679,4117,602
2013-Dec-Feb,143,1713,3637,5653,4116,607
2013-Jan-Mar,144,1715,3639,5648,4109,615
2013-Feb-Apr,145,1713,3644,5652,4114,624
2013-Mar-May,143,1700,3656,5646,4124,616
2013-Apr-Jun,148,1685,3664,5659,4142,635
2013-May-Jul,146,1702,3669,5651,4166,630
2013-Jun-Aug,155,1692,3678,5650,4190,629
2013-Jul-Sep,152,1715,3698,5648,4210,630
2013-Aug-Oct,152,1709,3710,5652,4229,646
2013-Sep-Nov,151,1735,3707,5667,4246,652
2013-Oct-Dec,145,1731,3714,5644,4250,649
2014-Nov-Jan,149,1736,3724,5676,4240,643
2014-Dec-Feb,140,1752,3741,5692,4242,672
2014-Jan-Mar,143,1748,3755,5686,4260,672
2014-Feb-Apr,138,1779,3772,5687,4266,672
2014-Mar-May,142,1784,3792,5691,4284,664
2014-Apr-Jun,140,1789,3785,5702,4272,647
2014-May-Jul,136,1766,3778,5700,4293,652
2014-Jun-Aug,141,1795,3775,5703,4312,652
2014-Jul-Sep,139,1790,3781,5716,4325,658
2014-Aug-Oct,141,1792,3773,5703,4320,675
2014-Sep-Nov,143,1790,3769,5699,4323,676
2014-Oct-Dec,148,1802,3768,5708,4332,683
2015-Nov-Jan,144,1815,3780,5713,4343,680
2015-Dec-Feb,144,1825,3785,5728,4353,722
2015-Jan-Mar,145,1824,3800,5734,4355,728
2015-Feb-Apr,146,1813,3789,5729,4362,704
2015-Mar-May,152,1801,3787,5715,4360,676
2015-Apr-Jun,153,1811,3778,5706,4394,693
2015-May-Jul,161,1814,3801,5700,4402,710
2015-Jun-Aug,160,1848,3826,5699,4395,708
2015-Jul-Sep,166,1869,3838,5674,4416,712
2015-Aug-Oct,174,1876,3856,5695,4452,715
2015-Sep-Nov,171,1860,3873,5698,4470,730
2015-Oct-Dec,174,1866,3882,5700,4475,738
2016-Nov-Jan,166,1860,3899,5702,4462,740
2016-Dec-Feb,173,1853,3911,5690,4480,741
2016-Jan-Mar,173,1848,3928,5694,4475,730
2016-Feb-Apr,166,1843,3936,5687,4504,723
2016-Mar-May,161,1835,3938,5698,4506,741
2016-Apr-Jun,160,1829,3947,5713,4518,744
2016-May-Jul,155,1813,3962,5715,4534,743
2016-Jun-Aug,157,1815,3955,5722,4557,756
2016-Jul-Sep,151,1809,3935,5704,4568,759
2016-Aug-Oct,150,1809,3933,5690,4565,741
2016-Sep-Nov,170,1811,3931,5678,4562,735
2016-Oct-Dec,176,1808,3926,5699,4572,720
2017-Nov-Jan,177,1821,3914,5708,4577,729
2017-Dec-Feb,175,1825,3911,5721,4578,711
2017-Jan-Mar,178,1820,3927,5712,4595,728
2017-Feb-Apr,177,1819,3940,5713,4579,735
2017-Mar-May,169,1813,3961,5718,4594,730
2017-Apr-Jun,167,1827,3974,5730,4608,704
2017-May-Jul,159,1819,3999,5734,4594,705
2017-Jun-Aug,164,1798,3983,5742,4600,715
2017-Jul-Sep,165,1761,3990,5726,4611,724
2017-Aug-Oct,162,1759,3985,5732,4613,716
2017-Sep-Nov,162,1801,4002,5743,4646,727
2017-Oct-Dec,156,1792,4005,5721,4632,728
2018-Nov-Jan,162,1790,4014,5722,4648,756
2018-Dec-Feb,163,1788,4009,5736,4655,739
2018-Jan-Mar,165,1818,4006,5743,4665,730
2018-Feb-Apr,170,1812,4004,5730,4674,738
2018-Mar-May,177,1809,4010,5738,4684,720
2018-Apr-Jun,178,1812,4008,5728,4702,732
2018-May-Jul,174,1822,3998,5726,4710,745
2018-Jun-Aug,168,1825,3996,5721,4731,735
2018-Jul-Sep,165,1814,4010,5720,4727,765
2018-Aug-Oct,155,1847,4019,5727,4730,763
2018-Sep-Nov,148,1853,4028,5727,4731,788
2018-Oct-Dec,154,1828,4037,5744,4729,798
2019-Nov-Jan,154,1827,4046,5753,4751,785
2019-Dec-Feb,161,1813,4050,5738,4770,779
2019-Jan-Mar,162,1790,4048,5733,4769,774
2019-Feb-Apr,160,1764,4061,5739,4777,790
2019-Mar-May,156,1750,4061,5743,4772,799
2019-Apr-Jun,164,1753,4043,5742,4772,790
2019-May-Jul,164,1745,4047,5743,4799,763
2019-Jun-Aug,156,1736,4050,5750,4792,771
2019-Jul-Sep,157,1737,4066,5758,4804,777
2019-Aug-Oct,157,1767,4055,5758,4800,777
2019-Sep-Nov,153,1758,4075,5734,4823,774
2019-Oct-Dec,152,1793,4064,5734,4842,744
2020-Nov-Jan,148,1798,4066,5723,4830,762
